2230|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2229|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2228|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2821|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2819|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2818|CHICKEN CLUB-CPY         |5.39|2226|CHICKEN CLUB-CPY         |1|5051545|TND_MIM
2234|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2233|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2232|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
3543|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
0192|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
7392|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
7393|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2823|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2765|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2764|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
7350|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
7351|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
7181|CHICKEN CLUB-GRL         |4.99|2231|CHICKEN CLUB-GRL         |1|5051565|TND_MIM
2238|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2237|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2236|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2824|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2769|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2768|CHICKEN CLASSIC-CPY      |4.09|2235|CHICKEN CLASSIC-CPY      |1|5051545|TND_MIM
2247|BALSAMIC CHICKEN GRL     |1.99|2244|BALSAMIC CHICKEN GRL     |1|5051565|TND_MIM
2246|BALSAMIC CHICKEN GRL     |1.99|2244|BALSAMIC CHICKEN GRL     |1|5051565|TND_MIM
2245|BALSAMIC CHICKEN GRL     |1.99|2244|BALSAMIC CHICKEN GRL     |1|5051565|TND_MIM
2251|BUFFALO CHICKEN-CPY      |1.49|2248|BUFFALO CHICKEN-CPY      |1|5051545|TND_MIM
2250|BUFFALO CHICKEN-CPY      |1.49|2248|BUFFALO CHICKEN-CPY      |1|5051545|TND_MIM
2249|BUFFALO CHICKEN-CPY      |1.49|2248|BUFFALO CHICKEN-CPY      |1|5051545|TND_MIM
7499|FRUIT & WALNUT SALAD     |2.39|7498|FRUIT & WALNUT SALAD     |1|5700510|TND_MIM
2028|PARM PEPPERCORN CHKN     |5.99|2027|PARM PEPPERCORN CHKN     |1|5051565|TND_MIM
2029|PARM PEPPERCORN CHKN     |5.99|2027|PARM PEPPERCORN CHKN     |1|5051565|TND_MIM
3091|PARM PEPPERCORN CHKN     |5.99|2027|PARM PEPPERCORN CHKN     |1|5051565|TND_MIM
2138|HOT JALA TORT-QTR        ||2137|HOT JALA TORT-QTR        |1|5050545|TND_MIM
2144|HOT JALA TORT-QTR        ||2137|HOT JALA TORT-QTR        |1|5050545|TND_MIM
4399|CRMY AVOCADO CRUNCH      |5.99|2167|CRMY AVOCADO CRUNCH      |1|5051565|TND_MIM
3115|CRMY AVOCADO CRUNCH      |5.99|2167|CRMY AVOCADO CRUNCH      |1|5051565|TND_MIM
2175|CRMY AVOCADO CRUNCH      |5.99|2167|CRMY AVOCADO CRUNCH      |1|5051565|TND_MIM
2169|CRMY AVOCADO CRUNCH      |5.99|2167|CRMY AVOCADO CRUNCH      |1|5051565|TND_MIM
6401|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
5955|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
9838|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
9836|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
7783|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
7778|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
7504|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
2858|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |2|5050565|TND_MIM
2857|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |2|5050565|TND_MIM
H440|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
H395|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
H020|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
7469|DOUBLE HAMBURGER         |1|2|DOUBLE HAMBURGER         |1|5050565|TND_MIM
6346|CHEESEBURGER             |1|3|CHEESEBURGER             |4|5050510|TND_MIM
1992|CHEESEBURGER             |1|3|CHEESEBURGER             |2|5050510|TND_MIM
