PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
1|HAMBURGER|Hamb|1001|Hamburger|Hamb
1|HAMBURGER|Hamb|1403|Hamburger*|Hamb
1|HAMBURGER|Hamb|5041|Hamburger*|Hamb
1|HAMBURGER|Hamb|5728|Hamburger*|Hamb
2|DOUBLE HAMBURGER|Dblh|1002|Double Hamburger|Dblh
3|CHEESEBURGER|Chb|1003|Cheeseburger|Chb
3|CHEESEBURGER|Chb|1407|Cheeseburger*|Chb
4|DOUBLE CHEESEBURGER|Dbl|1004|Double Cheeseburger|Dbl
4|DOUBLE CHEESEBURGER|Dbl|6933|Double Cheeseburger|Dbl
5|BIG MAC|Mac|1005|Big Mac|Mac
6|QTR POUNDER HAMB|Qph|1006|Qtr Pounder Hamb|Qph
7|QTR POUNDER CHEESE|Qpc|1007|Qtr Pounder Cheese|Qpc
10|MCRIB|Rib|1010|McRib|Rib
13|APPLE PIE|Ap Pie|1013|Apple Pie|Ap Pie
24|S COFFEE|S Coff|1024|S Coffee|S Coff
24|S COFFEE|S Coff|3089|S Value Coffee|S Coff
24|S COFFEE|S Coff|5002|SML COFFEE|S Cosu
26|MCDONALDLAND COOKIES|Cookie|1026|McDonaldland Cookies|Cookie
28|BIG BREAKFAST W/MUFF|Big Mf|8711|Big Breakfast w/Muff|Big Mf
28|BIG BREAKFAST W/MUFF|Big Mf|9788|Big Breakfast w/Muff|Big Mf
30|SCRAMBLED EGGS|Eggs|8585|Scrambled Eggs|Eggs
31|HOTCAKES|Hot Ck|1031|Hotcakes|Hot Ck
32|HOTCAKES & SAUSAGE|Hc Sau|1032|Hotcakes & Sausage|Hc Sau
33|SAUSAGE|Sausge|7964|Sausage|Sausge
34|ENGLISH MUFFIN|Muffin|1034|English Muffin|Muffin
35|HASH BROWN|H Brwn|1035|Hash Brown|H Brwn
45|SNACK MCBITES MEAL|M SNBT|2343|SNACK MCBITES MEAL|M SNBT
46|EGG MCMUFFIN|Egg Mf|1046|Egg McMuffin|Egg Mf
50|S UNSWEET ICED TEA|S Utea|1050|S Unsweet Iced Tea|S Utea
55|S POPCORN|S Pcrn|2627|S Popcorn|S Pcrn
60|6 MCNUGGETS|6ng|1060|6 McNuggets|6ng
61|20 MCNUGGETS|20ng|1061|20 McNuggets|20ng
62|SAUSAGE BISCUIT|Sau Bi|1062|Sausage Biscuit|Sau Bi
63|COUNTRY HAM BISCUIT|Ham Bi|1063|Country Ham Biscuit|Ham Bi
64|BISCUIT|Biscut|1064|Biscuit|Biscut
66|MILK|Milk|1066|Milk|Milk
66|MILK|Milk|1067|Value Milk|Milk
72|HAM SLICE|Ham|1198|Ham Slice|Ham
75|BIRTHDAY PARTY A|BDay A|1075|Birthday Party A|BDay A
76|BIRTHDAY PARTY B|BDay B|1076|Birthday Party B|BDay B
78|SAUSAGE MCMUFFIN|Sau Mf|1078|Sausage McMuffin|Sau Mf
79|C UNSWEET ICED TEA|C Utea|1079|C Unsweet Iced Tea|C Utea
80|M UNSWEET ICED TEA|M Utea|1080|M Unsweet Iced Tea|M Utea
81|S DECAF COFFEE|S Dcaf|1081|S Decaf Coffee|S Dcaf
81|S DECAF COFFEE|S Dcaf|3090|S Value Dcf Coffee|S Dcaf
81|S DECAF COFFEE|S Dcaf|5006|SML DECAF COFFEE|S Dcsu
83|SAUSAGE EGG MCMUFFIN|Sec Mf|1083|Sausage Egg McMuffin|Sec Mf
85|BAC EGG CH BISCUIT|BEC Bi|1085|Bac Egg Ch Biscuit|BEC Bi
87|SAU EGG CH BISCUIT|Sec Bi|4002|Sau Egg Ch Biscuit|Sec Bi
88|SAUSAGE CHEESE BISC|Sac Bi|8970|Sausage Cheese Bisc|Sac Bi
92|SAU EGG BISCUIT|S&E Bi|1092|Sau Egg Biscuit|S&E Bi
93|EGG BISCUIT|Egg Bi|1093|Egg Biscuit|Egg Bi
107|BIG BREAKFAST|Big Bf|1101|Big Breakfast|Big Bf
107|BIG BREAKFAST|Big Bf|1107|Big Breakfast|Big Bf
108|CHEDDAR MELT|Melt|1565|Cheddar Melt|Melt
111|S CARAMEL MOCHA|S Cmmo|3073|S Caramel Mocha|S Cmmo
113|M CARAMEL MOCHA|M Cmmo|1851|M Caramel Mocha|M Cmmo
115|GALLON ORANGE SYRUP|Org Gl|1115|Gallon Orange Syrup|Org Gl
119|L CARAMEL MOCHA|L Cmmo|3338|L Caramel Mocha|L Cmmo
121|S N-FAT CRML MOCHA|S Ncmo|3074|S N-Fat Crml Mocha|S Ncmo
127|M N-FAT CRML MOCHA|M Ncmo|3118|M N-Fat Crml Mocha|M Ncmo
128|HAMB/FRY HPY ML TOY|HAM FR|1128|HAMB/FRY HPY ML TOY|HAM FR
128|HAMB/FRY HPY ML TOY|HAM FR|7759|HAMB/FRY HPY ML TOY*|HAMFR*
129|CHB/FRY HPY ML TOY|CHB FR|1129|CHB/FRY HPY ML TOY|CHB FR
129|CHB/FRY HPY ML TOY|CHB FR|7760|CHB/FRY HPY ML TOY*|CHBFR*
133|L N-FAT CRML MOCHA|L Ncmo|3339|L N-Fat Crml Mocha|L Ncmo
134|S ICED CRML MOCHA|S Icmo|3075|S Iced Crml Mocha|S Icmo
135|ANGUS CHPL BBQ BACON|Ang BQ|3226|Angus Chpl BBQ Bacon|Ang BQ
136|ANGUS BBQ BCN MEAL|M AgBQ|3227|Angus BBQ Bcn Meal|M AgBQ
137|ANGUS BBQ BCN ML-LRG|L AgBQ|3228|Angus BBQ Bcn Ml-Lrg|L AgBQ
139|M ICED CRML MOCHA|M Icmo|3141|M Iced Crml Mocha|M Icmo
143|L ICED CRML MOCHA|L Icmo|3320|L Iced Crml Mocha|L Icmo
148|CHEESE|Cheese|6063|Cheese|Cheese
153|S ICE N-FAT CML MOC|S Incm|3076|S Ice N-Fat Cml Moc|S Incm
156|L TWIST CONE|L Twcn|8678|L Twist Cone|L Twcn
157|STEAK BISCUIT|Stk Bi|1157|Steak Biscuit|Stk Bi
158|STEAK EGG BISCUIT|Ste Bi|4954|Steak Egg Biscuit|Ste Bi
159|M ICE N-FAT CML MOC|M Incm|3253|M Ice N-Fat Cml Moc|M Incm
160|L ICE N-FAT CML MOC|L Incm|3318|L Ice N-Fat Cml Moc|L Incm
161|EGG CHEESE BISCUIT|Egc Bi|9869|Egg Cheese Biscuit|Egc Bi
